record,prow,pcol,harvester,checks,plot,bloc,entry,r_expt,r_location,loccode,loc,year1,name,source,identity1,v_desc,selection,pedigree,growthstag,headcode,htcm,MicroSD,mmbran,mmch,mmflour,mmmids,notes,notes2,plotlen,plotwid,ppass,ppo,twtg,yieldg,ROI Label,Group,Name,Area of Ground,Area of Plant,Total ROI Area,% Ground Cover,% Plant Cover
283,15,16,0,0,2339,1,79,19 F5-2 LIND,Lind,LIN,2,2019,14X1027-0-0-37,,14X1027,,-37,(Hyak/HS00162-25L-6),45,cbw,87,4,4.87,3,4.78,11.6,,,388.62,5.5,,M,60.92,2200,M08,19 F5-2,2339,1024,2047,3071,0.333,0.667
284,14,16,0,0,2340,1,119,19 F5-2 LIND,Lind,LIN,2,2019,SY Command,,,,,,47,lbw,85,2.7,4.3,4,4.8,10.7,,,312.42,5.5,,D,59.51,2130,N08,19 F5-2,2340,1078,1993,3071,0.351,0.649
285,13,16,0,0,2341,1,20,19 F5-2 LIND,Lind,LIN,2,2019,14X1053-0-0-80,,14X1053,,-80,(X010746-4C/SY OVATION),43,cbw,85,1.2,4.24,1,3.85,12.2,,,419.1,5.5,,D,60.6,2750,O08,19 F5-2,2341,2183,888,3071,0.711,0.289
286,12,16,0,0,2342,1,84,19 F5-2 LIND,Lind,LIN,2,2019,14X1027-0-0-45,,14X1027,,-45,(Hyak/HS00162-25L-6),43,cbw,90,4.2,4.18,2,5.08,9.97,,,355.6,5.5,,M,60.27,2170,P08,19 F5-2,2342,618,2453,3071,0.201,0.799
287,11,16,0,0,2343,1,39,19 F5-2 LIND,Lind,LIN,2,2019,14X1053-0-0-128,,14X1053,,-128,(X010746-4C/SY OVATION),43,cbw,85,1.2,3.84,3,5.1,11.7,,,340.36,5.5,,D,58.84,2380,Q08,19 F5-2,2343,1069,2002,3071,0.348,0.652
288,10,16,0,0,2344,1,124,19 F5-2 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,88,1,3.9,4,6.38,11,,,383.54,5.5,,D,56.52,2780,R08,19 F5-2,2344,1108,1963,3071,0.361,0.639
289,10,17,0,0,2401,1,122,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-79,,14X1117,,-79,(WA8142-3/X06134-3C),47,caw,100,1,4.91,1,2.99,13,,,375.92,5.5,,D,56.39,2600,R01,19 F5-3,2401,1693,1378,3071,0.551,0.449
290,11,17,0,0,2402,1,31,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-226,,14X1118,,-226,(WA8142/X20060121-0-37C),45,cbw,72,1.7,4.45,2,4.68,10.8,,,337.82,5.5,,M,58.64,1910,Q01,19 F5-3,2402,2295,776,3071,0.747,0.253
291,12,17,0,0,2403,1,48,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-73,,14X1114,,-73,(XERPHA/X06132-45C),43,cbw,80,0.7,4.52,3,4.43,11.4,,,370.84,5.5,,M,59.19,2050,P01,19 F5-3,2403,1824,1247,3071,0.594,0.406
292,13,17,0,0,2404,1,111,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-70,,14X1117,,-70,(WA8142-3/X06134-3C),45,cbw,95,1.5,4.33,4,4.59,11.5,,,416.56,5.5,,D,58.65,2460,O01,19 F5-3,2404,2139,932,3071,0.697,0.303
293,14,17,0,0,2405,1,96,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-29,,14X1117,,-29,(WA8142-3/X06134-3C),43,cbw,95,0.9,4.92,1,2.89,12.6,,,304.8,5.5,,M,57.78,1910,N01,19 F5-3,2405,1283,1788,3071,0.418,0.582
294,15,17,0,0,2406,1,80,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-80,,14X1023,,-80,(HS00162-18L-4/X070051-0-0-20C),43,cbw,80,2,3.88,2,4.85,11.6,,,373.38,5.5,,M,58.09,2200,M01,19 F5-3,2406,1354,1717,3071,0.441,0.559
295,16,17,0,0,2407,1,59,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-101,,14X1114,,-101,(XERPHA/X06132-45C),45,cbw,82,0.5,3.91,3,4.62,10.9,,,360.68,5.5,,M,58.44,2320,L01,19 F5-3,2407,643,2428,3071,0.209,0.791
296,17,17,0,0,2408,1,27,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-198,,14X1118,,-198,(WA8142/X20060121-0-37C),49,cbw,75,3.5,3.93,4,4.86,10.8,,,335.28,5.5,,M,57.78,1650,K01,19 F5-3,2408,776,2295,3071,0.253,0.747
297,18,17,0,0,2409,1,119,19 F5-3 LIND,Lind,LIN,2,2019,SY Command,,,,,,47,lbw,85,2.7,4.21,1,2.58,10.8,,,355.6,5.5,,D,58.04,2760,J01,19 F5-3,2409,179,2892,3071,0.058,0.942
298,19,17,0,0,2410,1,68,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-45,,14X1023,,-45,(HS00162-18L-4/X070051-0-0-20C),43,cbw,73,3.4,4.36,2,4.26,10.9,,,327.66,5.5,,M,60.21,1730,I01,19 F5-3,2410,1218,1853,3071,0.397,0.603
299,20,17,0,0,2411,1,12,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-64,,14X1118,,-64,(WA8142/X20060121-0-37C),47,cbw,68,3.1,4.61,3,4.35,11.8,,,365.76,5.5,,M,58.91,1420,H01,19 F5-3,2411,680,2391,3071,0.221,0.779
300,21,17,0,0,2412,1,103,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-46,,14X1117,,-46,(WA8142-3/X06134-3C),47,caw,85,2.6,4.86,4,4.72,12.4,,,350.52,5.5,,M,58.74,1770,G01,19 F5-3,2412,647,2424,3071,0.211,0.789
301,22,17,0,0,2413,1,54,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-90,,14X1114,,-90,(XERPHA/X06132-45C),45,cbw,82,0.7,3.85,1,3.92,11.1,,,353.06,5.5,,M,59.65,2080,F01,19 F5-3,2413,851,2220,3071,0.277,0.723
302,23,17,0,0,2414,1,124,19 F5-3 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,88,1.2,3.71,2,5.82,11.2,,,365.76,5.5,,M,59.48,2550,E01,19 F5-3,2414,1853,1218,3071,0.603,0.397
303,24,17,0,0,2415,1,7,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-43,,14X1118,,-43,(WA8142/X20060121-0-37C),49,cbw,75,2.8,3.59,3,4.96,11,,,363.22,5.5,,M,58.54,1440,D01,19 F5-3,2415,586,2485,3071,0.191,0.809
304,25,17,0,0,2416,1,101,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-43,,14X1117,,-43,(WA8142-3/X06134-3C),47,cbw,96,2.9,3.44,4,4.86,10.6,,,332.74,5.5,,M,58.37,1950,C01,19 F5-3,2416,1285,1786,3071,0.418,0.582
305,26,17,0,0,2417,1,118,19 F5-3 LIND,Lind,LIN,2,2019,SY Banks,,,,,,45,lbw,90,1.2,3.69,1,3.56,13.4,,,365.76,5.5,,D,59.25,2030,B01,19 F5-3,2417,1658,1413,3071,0.54,0.46
306,27,17,0,0,2418,1,11,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-52,,14X1118,,-52,(WA8142/X20060121-0-37C),47,cbw,80,4.3,3.77,2,5.72,11.1,,,335.28,5.5,,M,60.08,1810,A01,19 F5-3,2418,170,2901,3071,0.055,0.945
307,27,18,0,0,2419,1,2,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-34,,14X1118,,-34,(WA8142/X20060121-0-37C),49,cbw,85,3,3.53,3,5.05,11.8,,,345.44,5.5,,D,61.06,1840,A02,19 F5-3,2419,1273,1798,3071,0.415,0.585
308,26,18,0,0,2420,1,35,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-18,,14X1114,,-18,(XERPHA/X06132-45C),45,cbw,78,2.3,3.86,4,5.83,10.4,,,365.76,5.5,,D,58.99,2670,B02,19 F5-3,2420,1879,1192,3071,0.612,0.388
309,25,18,0,0,2421,1,113,19 F5-3 LIND,Lind,LIN,2,2019,ARS Crescent,,,,,Dusty//MDN sib/Dusty///WA7665/RULO,43,cbw,85,1,4.06,1,4.02,12.5,,,335.28,5.5,,D,59.07,1900,C02,19 F5-3,2421,1565,1506,3071,0.51,0.49
310,24,18,0,0,2422,1,36,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-23,,14X1114,,-23,(XERPHA/X06132-45C),41,cbaw,75,1.5,1.99,2,2.56,5.82,,,360.68,5.5,,D,61.78,2070,D02,19 F5-3,2422,1852,1219,3071,0.603,0.397
311,23,18,0,0,2423,1,72,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-70,,14X1023,,-70,(HS00162-18L-4/X070051-0-0-20C),47,cbw,82,2.3,3.55,3,4.25,10,,,365.76,5.5,,M,59.93,2010,E02,19 F5-3,2423,941,2130,3071,0.306,0.694
312,22,18,0,0,2424,1,58,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-97,,14X1114,,-97,(XERPHA/X06132-45C),47,cbw,88,1.3,3.85,4,5.18,10.7,,,337.82,5.5,,D,59.18,1790,F02,19 F5-3,2424,1221,1850,3071,0.398,0.602
313,21,18,0,0,2425,1,124,19 F5-3 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,80,0.7,4.14,1,3.93,12.9,,,365.76,5.5,,M,59.65,2110,G02,19 F5-3,2425,1805,1266,3071,0.588,0.412
314,20,18,0,0,2426,1,10,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-51,,14X1118,,-51,(WA8142/X20060121-0-37C),47,cbw,82,2.4,3.9,2,4.34,10.5,,,365.76,5.5,,M,59.7,1740,H02,19 F5-3,2426,394,2677,3071,0.128,0.872
315,19,18,0,0,2427,1,43,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-48,,14X1114,,-48,(XERPHA/X06132-45C),47,cbw,80,0.6,3.78,3,4.92,10.9,,,337.82,5.5,,D,57.8,1770,I02,19 F5-3,2427,1247,1824,3071,0.406,0.594
316,18,18,0,0,2428,1,116,19 F5-3 LIND,Lind,LIN,2,2019,LCS-HULK,,,,,,47,lbw,88,4,4.22,4,5.4,11.1,,,386.08,5.5,,M,58.63,2240,J02,19 F5-3,2428,772,2299,3071,0.251,0.749
317,17,18,0,0,2429,1,110,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-69,,14X1117,,-69,(WA8142-3/X06134-3C),45,cbaw,110,2.7,4.21,1,3.09,12.9,,,342.9,5.5,,M,58.52,2200,K02,19 F5-3,2429,987,2084,3071,0.321,0.679
318,16,18,0,0,2430,1,3,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-35,,14X1118,,-35,(WA8142/X20060121-0-37C),49,cbr,75,3,4.17,2,4.53,11.3,,,368.3,5.5,,M,59.01,1700,L02,19 F5-3,2430,1747,1324,3071,0.569,0.431
319,15,18,0,0,2431,1,67,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-39,,14X1023,,-39,(HS00162-18L-4/X070051-0-0-20C),45,cbw,85,3,4.3,3,4.36,12.8,,,381,5.5,,M,59.62,2100,M02,19 F5-3,2431,1693,1378,3071,0.551,0.449
320,14,18,0,0,2432,1,99,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-37,,14X1117,,-37,(WA8142-3/X06134-3C),43,cbaw,105,2.1,3.6,4,4.83,11.2,,,304.8,5.5,,M,60,2170,N02,19 F5-3,2432,385,2686,3071,0.125,0.875
321,13,18,0,0,2433,1,123,19 F5-3 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,47,lbw,90,3,3.93,1,4.04,10,,,401.32,5.5,,D,59.19,2890,O02,19 F5-3,2433,1050,2021,3071,0.342,0.658
322,12,18,0,0,2434,1,23,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-188,,14X1118,,-188,(WA8142/X20060121-0-37C),45,cbw,80,2.6,3.81,2,4.92,10.7,,,370.84,5.5,,M,60.47,2210,P02,19 F5-3,2434,991,2080,3071,0.323,0.677
323,11,18,0,0,2435,1,87,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-4,,14X1117,,-4,(WA8142-3/X06134-3C),45,cbw,90,2,3.72,3,5.38,11.4,,,335.28,5.5,,D,59.45,2270,Q02,19 F5-3,2435,1751,1320,3071,0.57,0.43
324,10,18,0,0,2436,1,30,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-208,,14X1118,,-208,(WA8142/X20060121-0-37C),49,cbw,90,3.3,4.05,4,5.43,11.7,,,388.62,5.5,,M,57.18,1900,R02,19 F5-3,2436,922,2149,3071,0.3,0.7
325,10,19,0,0,2437,1,108,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-64,,14X1117,,-64,(WA8142-3/X06134-3C),47,cbw,90,2.5,3.77,1,3.71,12.6,,,358.14,5.5,,M,58.38,2950,R03,19 F5-3,2437,1993,1078,3071,0.649,0.351
326,11,19,0,0,2438,1,124,19 F5-3 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,85,1.2,3.59,2,5.77,11,,,312.42,5.5,,D,59.49,2540,Q03,19 F5-3,2438,2071,1000,3071,0.674,0.326
327,12,19,0,0,2439,1,57,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-93,,14X1114,,-93,(XERPHA/X06132-45C),43,caw,80,0.6,3.54,3,5.09,10.2,,,358.14,5.5,,M,55.44,2120,P03,19 F5-3,2439,336,2735,3071,0.109,0.891
328,13,19,0,0,2440,1,90,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-9,,14X1117,,-9,(WA8142-3/X06134-3C),45,caw,100,1.3,3.64,4,5.45,10.9,,,378.46,5.5,,D,55.11,3020,O03,19 F5-3,2440,1318,1753,3071,0.429,0.571
329,14,19,0,0,2441,1,63,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-18,,14X1023,,-18,(HS00162-18L-4/X070051-0-0-20C),43,cbw,85,1.4,4.13,1,3.36,13.1,,,302.26,5.5,,M,58.47,1990,N03,19 F5-3,2441,265,2806,3071,0.086,0.914
330,15,19,0,0,2442,1,120,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-73,,14X1117,,-73,(WA8142-3/X06134-3C),43,caw,80,1.2,4.01,2,4.79,11.3,,,383.54,5.5,,D,55.92,2490,M03,19 F5-3,2442,1439,1632,3071,0.469,0.531
331,16,19,0,0,2443,1,24,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-190,,14X1118,,-190,(WA8142/X20060121-0-37C),47,cbaw,99,2.6,4.01,3,4.1,10.5,,,360.68,5.5,,M,57.31,1650,L03,19 F5-3,2443,123,2948,3071,0.04,0.96
332,17,19,0,0,2444,1,4,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-36,,14X1118,,-36,(WA8142/X20060121-0-37C),45,cbw,83,3,4.15,4,5.71,11.4,,,330.2,5.5,,M,60.04,1910,K03,19 F5-3,2444,1953,1118,3071,0.636,0.364
333,18,19,0,0,2445,1,91,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-12,,14X1117,,-12,(WA8142-3/X06134-3C),45,caw,102,2.1,3.72,1,3.73,11.9,,,363.22,5.5,,D,57.22,2380,J03,19 F5-3,2445,415,2656,3071,0.135,0.865
334,19,19,0,0,2446,1,47,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-64,,14X1114,,-64,(XERPHA/X06132-45C),41,cbw,90,2,3.69,2,5.33,11.2,,,320.04,5.5,,D,60.23,2130,I03,19 F5-3,2446,1266,1805,3071,0.412,0.588
335,20,19,0,0,2447,1,114,19 F5-3 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,75,2.7,3.29,3,5.16,9.91,,,355.6,5.5,,D,58.17,2250,H03,19 F5-3,2447,39,3032,3071,0.013,0.987
336,21,19,0,0,2448,1,104,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-49,,14X1117,,-49,(WA8142-3/X06134-3C),45,caw,75,4.3,3.92,4,5.67,11.3,,,347.98,5.5,,D,58.55,1380,G03,19 F5-3,2448,388,2683,3071,0.126,0.874
337,22,19,0,0,2449,1,123,19 F5-3 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,43,lbw,90,3,4.24,1,3.9,10.4,,,345.44,5.5,,M,59.75,2140,F03,19 F5-3,2449,1616,1455,3071,0.526,0.474
338,23,19,0,0,2450,1,52,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-84,,14X1114,,-84,(XERPHA/X06132-45C),43,cbw,95,1,3.93,2,5.19,11.1,,,368.3,5.5,,D,59.94,1840,E03,19 F5-3,2450,644,2427,3071,0.21,0.79
339,24,19,0,0,2451,1,106,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-55,,14X1117,,-55,(WA8142-3/X06134-3C),45,cbaw,105,2.4,3.81,3,4.89,12.3,,,347.98,5.5,,M,60.21,2620,D03,19 F5-3,2451,391,2680,3071,0.127,0.873
340,25,19,0,0,2452,1,105,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-50,,14X1117,,-50,(WA8142-3/X06134-3C),43,cbw,95,2.4,3.99,4,4.66,10.7,,,350.52,5.5,,D,59.17,1970,C03,19 F5-3,2452,302,2769,3071,0.098,0.902
341,26,19,0,0,2453,1,82,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-85,,14X1023,,-85,(HS00162-18L-4/X070051-0-0-20C),47,cbw,90,1.9,4.08,1,3.45,11.7,,,368.3,5.5,,M,58.68,2420,B03,19 F5-3,2453,1480,1591,3071,0.482,0.518
342,27,19,0,0,2454,1,88,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-6,,14X1117,,-6,(WA8142-3/X06134-3C),45,car,107,2.9,3.66,2,4.48,11,,,353.06,5.5,,D,59.61,2340,A03,19 F5-3,2454,1157,1914,3071,0.377,0.623
343,27,20,0,0,2455,1,69,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-48,,14X1023,,-48,(HS00162-18L-4/X070051-0-0-20C),47,cbw,90,3,3.69,3,4.26,10.9,,,375.92,5.5,,M,59.45,2130,A04,19 F5-3,2455,1411,1660,3071,0.459,0.541
344,26,20,0,0,2456,1,45,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-60,,14X1114,,-60,(XERPHA/X06132-45C),45,cbaw,95,1.3,3.8,4,5.43,11.5,,,355.6,5.5,,M,61.84,2380,B04,19 F5-3,2456,1998,1073,3071,0.651,0.349
345,25,20,0,0,2457,1,18,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-139,,14X1118,,-139,(WA8142/X20060121-0-37C),47,cbw,67,2.4,4.8,1,3.37,13.7,,,347.98,5.5,,M,.,1230,C04,19 F5-3,2457,1146,1925,3071,0.373,0.627
346,24,20,0,0,2458,1,123,19 F5-3 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,85,3.2,3.73,2,5.38,9.5,,,353.06,5.5,,L,61.01,2100,D04,19 F5-3,2458,536,2535,3071,0.175,0.825
347,23,20,0,0,2459,1,19,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-142,,14X1118,,-142,(WA8142/X20060121-0-37C),47,cbw,65,3,4.35,3,4.91,11.6,,,355.6,5.5,,M,60.6,1350,E04,19 F5-3,2459,563,2508,3071,0.183,0.817
348,22,20,0,0,2460,1,29,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-204,,14X1118,,-204,(WA8142/X20060121-0-37C),47,cbw,63,2,4.02,4,5.41,11.8,,,340.36,5.5,,M,60.66,1390,F04,19 F5-3,2460,1144,1927,3071,0.373,0.627
349,21,20,0,0,2461,1,100,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-38,,14X1117,,-38,(WA8142-3/X06134-3C),45,cbaw,75,4.1,3.75,1,3.24,11.5,,,358.14,5.5,,M,59.88,2050,G04,19 F5-3,2461,1208,1863,3071,0.393,0.607
350,20,20,0,0,2462,1,115,19 F5-3 LIND,Lind,LIN,2,2019,BRUEHL,2019 SW Winter ALM,SNP1275,WC,,UNA(NS1971)/5/Oasis/4/Luke//Itana/,43,cbw,80,2.3,3.71,2,5.72,11.7,,,365.76,5.5,,D,58.89,2070,H04,19 F5-3,2462,227,2844,3071,0.074,0.926
351,19,20,0,0,2463,1,40,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-36,,14X1114,,-36,(XERPHA/X06132-45C),43,cbaw,75,1.2,3.59,3,4.89,11.6,,,335.28,5.5,,M,58.12,2030,I04,19 F5-3,2463,807,2264,3071,0.263,0.737
352,18,20,0,0,2464,1,83,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-89,,14X1023,,-89,(HS00162-18L-4/X070051-0-0-20C),43,cbw,75,2.6,3.62,4,5.33,9.9,,,375.92,5.5,,L,57.83,2510,J04,19 F5-3,2464,649,2422,3071,0.211,0.789
353,17,20,0,0,2465,1,112,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-72,,14X1117,,-72,(WA8142-3/X06134-3C),43,cbaw,109,1.2,4.41,1,3.33,13.1,,,345.44,5.5,,M,61.81,2290,K04,19 F5-3,2465,1885,1186,3071,0.614,0.386
354,16,20,0,0,2466,1,124,19 F5-3 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,80,1,3.8,2,5.41,11.1,,,363.22,5.5,,D,57.99,2580,L04,19 F5-3,2466,667,2404,3071,0.217,0.783
355,15,20,0,0,2467,1,50,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-79,,14X1114,,-79,(XERPHA/X06132-45C),45,cbw,102,2.9,4.16,3,4.37,11.6,,,381,5.5,,M,61.04,2350,M04,19 F5-3,2467,416,2655,3071,0.135,0.865
356,14,20,0,0,2468,1,65,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-33,,14X1023,,-33,(HS00162-18L-4/X070051-0-0-20C),47,cbw,70,2.8,3.85,4,5.18,11.5,,,322.58,5.5,,M,60.79,2140,N04,19 F5-3,2468,753,2318,3071,0.245,0.755
357,13,20,0,0,2469,1,26,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-196,,14X1118,,-196,(WA8142/X20060121-0-37C),47,cbw,85,2.1,3.77,1,3.53,12.1,,,424.18,5.5,,M,60.15,2300,O04,19 F5-3,2469,1279,1792,3071,0.416,0.584
358,12,20,0,0,2470,1,56,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-92,,14X1114,,-92,(XERPHA/X06132-45C),45,cbaw,78,3,3.68,2,6.02,11.8,,,358.14,5.5,,D,59.89,2960,P04,19 F5-3,2470,989,2082,3071,0.322,0.678
359,11,20,0,0,2471,1,117,19 F5-3 LIND,Lind,LIN,2,2019,Otto,2019 Freeze Test,Otto,SWW,,Eltan//Madsen/Eltan///Eltan,43,lbw,92,5,3.58,3,5.43,10,,,325.12,5.5,,L,59.82,2420,Q04,19 F5-3,2471,1439,1632,3071,0.469,0.531
360,10,20,0,0,2472,1,14,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-92,,14X1118,,-92,(WA8142/X20060121-0-37C),49,cbw,82,2,3.64,4,5.77,11.6,,,396.24,5.5,,M,58.5,2010,R04,19 F5-3,2472,1601,1470,3071,0.521,0.479
361,10,21,0,0,2473,1,46,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-62,,14X1114,,-62,(XERPHA/X06132-45C),45,cbw,78,1.4,4.55,1,3.7,11.5,,,388.62,5.5,,M,57.44,2730,R05,19 F5-3,2473,650,2421,3071,0.212,0.788
362,11,21,0,0,2474,1,95,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-26,,14X1117,,-26,(WA8142-3/X06134-3C),45,cbw,97,1.6,4.28,2,4.26,11.8,,,312.42,5.5,,M,59.19,2570,Q05,19 F5-3,2474,1160,1911,3071,0.378,0.622
363,12,21,0,0,2475,1,124,19 F5-3 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,87,1.4,3.61,3,4.68,10.5,,,347.98,5.5,,M,59.35,2780,P05,19 F5-3,2475,262,2809,3071,0.085,0.915
364,13,21,0,0,2476,1,97,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-35,,14X1117,,-35,(WA8142-3/X06134-3C),43,cbw,100,2.1,4.32,4,4.59,11.4,,,414.02,5.5,,M,58.49,2790,O05,19 F5-3,2476,909,2162,3071,0.296,0.704
365,14,21,0,0,2477,1,64,19 F5-3 LIND,Lind,LIN,2,2019,14X1023-0-0-30,,14X1023,,-30,(HS00162-18L-4/X070051-0-0-20C),45,cbw,95,1.7,4.22,1,3.32,13.6,,,307.34,5.5,,D,59.93,2300,N05,19 F5-3,2477,1117,1954,3071,0.364,0.636
366,15,21,0,0,2478,1,114,19 F5-3 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,80,2.7,3.61,2,4.79,10.3,,,383.54,5.5,,M,57.84,2180,M05,19 F5-3,2478,1948,1123,3071,0.634,0.366
367,16,21,0,0,2479,1,38,19 F5-3 LIND,Lind,LIN,2,2019,14X1114-0-0-26,,14X1114,,-26,(XERPHA/X06132-45C),43,cbaw,75,1,3.85,3,4.54,11.4,,,337.82,5.5,,M,59.6,2340,L05,19 F5-3,2479,1416,1655,3071,0.461,0.539
368,17,21,0,0,2480,1,17,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-119,,14X1118,,-119,(WA8142/X20060121-0-37C),47,caw,95,2.3,4,4,4.51,10.9,,,340.36,5.5,,M,58.74,2110,K05,19 F5-3,2480,695,2376,3071,0.226,0.774
369,18,21,0,0,2481,1,25,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-194,,14X1118,,-194,(WA8142/X20060121-0-37C),47,cbw,89,1.4,4.73,1,3.11,12.9,,,378.46,5.5,,M,59.08,1810,J05,19 F5-3,2481,331,2740,3071,0.108,0.892
370,19,21,0,0,2482,1,15,19 F5-3 LIND,Lind,LIN,2,2019,14X1118-0-0-95,,14X1118,,-95,(WA8142/X20060121-0-37C),49,cbw,78,2,4.29,2,4.61,12.3,,,327.66,5.5,,M,58.72,1960,I05,19 F5-3,2482,64,3007,3071,0.021,0.979
371,20,21,0,0,2483,1,123,19 F5-3 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,78,2.7,4.06,3,4.73,9.62,,,355.6,5.5,,LL,58.72,2130,H05,19 F5-3,2483,13,3058,3071,0.004,0.996
372,21,21,0,0,2484,1,102,19 F5-3 LIND,Lind,LIN,2,2019,14X1117-0-0-45,,14X1117,,-45,(WA8142-3/X06134-3C),45,cbaw,93,2.5,4.24,4,4.96,11.7,,,347.98,5.5,,M,59.82,1870,G05,19 F5-3,2484,325,2746,3071,0.106,0.894
